,total_points_prev,current_gw,position_number,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,round,total_points,player_id
148,0.0,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,23.9,0.05,5
149,0.0,27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.900000000000002,0.0,5
150,0.0,28,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,5
151,0.0,29,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,5
152,0.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.900000000000002,0.0,5
153,0.0,31,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,5
154,0.0,32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.900000000000002,0.0,5
155,0.0,33,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0,5
156,0.0,34,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.0,5
157,0.0,35,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.900000000000006,0.0,5
158,1.0,36,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,5
159,0.0,37,2,0.0,0.0,0.0,0.8,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,34.9,0.4,5
160,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,0.0,6
161,0.0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8999999999999995,0.0,6
162,0.0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,6
163,0.0,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.900000000000001,0.0,6
164,0.0,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,6
165,0.0,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,6
166,0.0,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,6
167,0.0,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.900000000000002,0.0,6
168,0.0,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,6
169,0.0,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,6
170,0.0,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.899999999999999,0.0,6
171,0.0,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,6
172,0.0,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.900000000000002,0.0,6
173,0.0,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.900000000000002,0.0,6
174,0.0,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.900000000000002,0.0,6
175,0.0,21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,6
176,0.0,22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.900000000000002,0.0,6
177,0.0,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,6
178,0.0,24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,6
179,0.0,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.900000000000002,0.0,6
180,0.0,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,6
181,0.0,27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.900000000000002,0.0,6
182,0.0,28,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,6
183,0.0,29,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,6
184,0.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.900000000000002,0.0,6
185,0.0,31,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,6
186,0.0,32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.900000000000002,0.0,6
187,0.0,33,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0,6
188,0.0,34,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.0,6
189,0.0,35,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.900000000000006,0.0,6
190,0.0,36,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,6
191,0.0,37,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,6
192,8.0,6,2,0.0,0.4,0.7,1.3,0.2,0.15,4.13,1.5,0.0,0.0,3.9000000000000004,4.05,7
193,11.0,7,2,0.0,0.3,0.85,2.8,0.1,0.1,4.735,1.3,0.0,0.0,4.8999999999999995,5.699999999999999,7
194,1.0,8,2,0.4,0.15,0.95,3.5,0.45,0.05,4.305000000000001,0.8,0.0,0.0,5.9,8.15,7
195,1.0,9,2,0.3,0.1,0.6,2.9,0.3,0.0,3.465,0.85,0.0,0.0,6.900000000000001,5.699999999999999,7
196,2.0,10,2,0.15,0.45,0.3,2.55,0.55,0.0,4.705,0.8999999999999999,0.0,0.0,7.9,3.3999999999999995,7
197,1.0,11,2,0.1,0.3,0.15000000000000002,2.75,0.4,0.0,5.249999999999999,0.9,0.0,0.0,8.9,2.75,7
198,6.0,12,2,0.05,0.15,0.05,3.6,0.2,0.0,3.85,0.5499999999999999,0.0,0.0,9.9,1.8,7
199,6.0,13,2,0.0,0.1,0.4,3.4500000000000006,0.5,0.0,3.6,0.3,0.0,0.0,10.900000000000002,3.15,7
200,6.0,14,2,0.0,0.05,0.7,2.85,0.75,0.0,4.435,0.55,0.0,0.0,11.9,4.6000000000000005,7
201,0.0,15,2,0.0,0.0,0.85,2.1,0.44999999999999996,0.0,4.325,1.1500000000000001,0.0,0.0,12.9,5.299999999999999,7
202,1.0,16,2,0.0,0.0,0.5499999999999999,1.9500000000000002,0.25,0.0,3.8100000000000005,1.15,0.0,0.0,13.899999999999999,3.3499999999999996,7
203,6.0,17,2,0.0,0.0,0.3,1.5,0.15000000000000002,0.0,3.915,1.1,0.0,0.0,14.9,2.2,7
204,7.0,18,2,0.0,0.0,0.55,3.6,0.45,0.0,4.575000000000001,1.1,0.0,0.0,15.900000000000002,3.6000000000000005,7
205,4.0,19,2,0.0,0.0,0.75,4.5,1.1,0.0,5.9799999999999995,1.05,0.0,0.0,16.900000000000002,5.05,7
206,1.0,20,2,0.4,0.4,0.44999999999999996,3.55,1.15,0.0,6.985,1.0,0.0,0.0,17.900000000000002,4.699999999999999,7
207,2.0,21,2,0.3,0.3,0.25,4.1,1.1,0.0,6.830000000000001,1.0,0.0,0.0,18.9,3.3000000000000003,7
