,total_points_prev,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,total_points
338,0,0.05,0.75,0,0.65,0.4,0,4.345,1.1,0,0,1.15
339,0,0,0.45,0,0.35,0.3,0,2.67,0.6,0,0,0.6
340,0,0,0.25,0,0.15,0.15,0,1.45,0.35,0,0,0.3
341,0,0,0.15,0,0.05,0.1,0,0.845,0.2,0,0,0.15
342,1,0,0.05,0,0,0.05,0,2.495,0.85,0,0,0.05
343,1,0,0,0,0,0,0,1.97,0.6,0,0,0.4
344,3,0,0,0,1.2,1.2,0,3.145,0.3,0,0,0.7
345,2,0,0,0.4,1.3,1.3,0,4.35,0.6,0,0,1.65
346,1,0,0,0.3,1.15,2.75,0,7.045,1.2,0,0,1.95
347,0,0,0,0.15,1.15,1.95,0,4.595,0.75,0,0,1.6
348,0,0,0,0.1,0.7,1,0,2.41,0.4,0,0,0.95
349,0,0,0,0.05,0.3,0.55,0,1.345,0.25,0,0,0.5
350,2,0,0,0,0.15,0.25,0,0.54,0.1,0,0,0.2
351,0,0,0,0,1.65,0.4,0,3,0.4,0,0,0.85
352,1,0,0,0,1.2,0.3,0,2.25,0.3,0,0,0.6
353,1,0,0,0,0.6,0.15,0,1.525,0.15,0,0,0.7
354,5,0,0,0,0.8,0.5,0,1.89,0.5,0,0,0.9
355,1,0.4,0,0,2.1,0.35,0,3.995,1.15,0,0,2.55
356,2,0.3,0,0,1.35,0.15,0,3.265,1.15,0,0,2.15
357,3,0.15,0,0,1.5,0.5,0,4.505,1.5,0,0,2
358,6,0.1,0,0.4,1.45,1.15,0,5.505,1.4,0,0,2.5
359,4,0.45,0.4,0.7,1.6,0.75,0,6.075,1.2,0,0,3.95
360,3,0.7,0.7,0.45,0.95,0.8,0,5.985,1.1,0,0,4.1
361,3,0,0,0,0.55,1,0,1.48,0.8,0,0,1.2
362,1,0,0,0.4,0.4,1.1,0,2.5,0.9,0,0,2
363,2,0,0,0.3,0.2,1.4,0,2.05,0.55,0,0,1.7
